#OTU ID	1289.S322.001.fa	1170.S330.001.fa	814.S250.001.fa	898.S253.001.fa	106.S118.001.fa	313.S121.001.fa	534.S159.001.fa	1285.S312.001.fa	1607.S278.001.fa	1078.S268.001.fa	24.S133.001.fa	1300.S274.001.fa	1178.S281.001.fa	203.S175.001.fa	829.S205.001.fa	725.S236.001.fa	1414.S292.001.fa	240.S176.001.fa	1541.S287.001.fa	1485.S325.001.fa	1265.S273.001.fa	1367.S335.001.fa	1059.S233.001.fa	1594.S316.001.fa	560.S141.001.fa	1446.S293.001.fa	1722.S318.001.fa	1224.S301.001.fa	713.S213.001.fa	39.S150.001.fa	1405.S285.001.fa	363.S166.001.fa	236.S164.001.fa	430.S114.001.fa	1587.S305.001.fa	320.S129.001.fa	935.S254.001.fa	340.S145.001.fa	375.S122.001.fa	1275.S291.001.fa	839.S227.001.fa	746.S204.001.fa	1179.S290.001.fa	1054.S222.001.fa	437.S131.001.fa	200.S153.001.fa	544.S180.001.fa	351.S156.001.fa	952.S300.001.fa	993.S244.001.fa	904.S199.001.fa	936.S265.001.fa	1120.S341.001.fa	1175.S270.001.fa	1360.S323.001.fa	970.S221.001.fa	841.S239.001.fa	585.S181.001.fa	844.S251.001.fa	1694.S288.001.fa	784.S185.001.fa	1292.S334.001.fa	1198.S331.001.fa	767.S237.001.fa	271.S155.001.fa	894.S241.001.fa	1217.S272.001.fa	690.S247.001.fa	377.S130.001.fa	1124.S269.001.fa	1186.S309.001.fa	8.S125.001.fa	1630.S306.001.fa	1426.S314.001.fa	777.S261.001.fa	73.S151.001.fa	966.S190.001.fa	235.S154.001.fa	70.S134.001.fa	1000.S256.001.fa	62.S117.001.fa	330.S138.001.fa	1639.S327.001.fa	535.S169.001.fa	1187.S319.001.fa	807.S215.001.fa	1636.S317.001.fa	775.S249.001.fa	1199.S343.001.fa	889.S218.001.fa	512.S140.001.fa	183.S127.001.fa	1085.S280.001.fa	893.S229.001.fa	1444.S286.001.fa	651.S246.001.fa	1599.S338.001.fa	815.S262.001.fa	1182.S299.001.fa	520.S147.001.fa	251.S128.001.fa	624.S201.001.fa	261.S137.001.fa	887.S198.001.fa	695.S259.001.fa	846.S263.001.fa	141.S152.001.fa	447.S146.001.fa	1653.S339.001.fa	449.S158.001.fa	1622.S295.001.fa	77.S162.001.fa	46.S172.001.fa	1004.S266.001.fa	208.S111.001.fa	1701.S296.001.fa	1753.S340.001.fa	1666.S279.001.fa	1261.S333.001.fa	116.S135.001.fa	406.S157.001.fa	398.S139.001.fa	663.S202.001.fa	230.S144.001.fa	1213.S320.001.fa	880.S187.001.fa	419.S167.001.fa	41.S161.001.fa	26.S142.001.fa	1417.S303.001.fa	1258.S321.001.fa	1071.S267.001.fa	546.S115.001.fa	1216.S344.001.fa	1338.S313.001.fa	871.S252.001.fa	909.S208.001.fa	288.S165.001.fa	213.S120.001.fa	964.S255.001.fa	574.S148.001.fa	1705.S307.001.fa	80.S173.001.fa	1214.S332.001.fa	1429.S324.001.fa	673.S224.001.fa	1435.S347.001.fa	879.S264.001.fa	1506.S337.001.fa	1605.S349.001.fa	1222.S282.001.fa	590.S124.001.fa	962.S243.001.fa	716.S225.001.fa	1656.S350.001.fa	452.S168.001.fa	706.S194.001.fa	1307.S284.001.fa	1562.S294.001.fa	159.S119.001.fa	610.S171.001.fa	1262.S345.001.fa	618.S182.001.fa	937.S189.001.fa	659.S193.001.fa	559.S132.001.fa	1066.S257.001.fa	648.S234.001.fa	933.S242.001.fa	866.S228.001.fa	1767.S351.001.fa	812.S226.001.fa	1173.S342.001.fa	1091.S308.001.fa	1251.S311.001.fa	1139.S289.001.fa	432.S123.001.fa	1017.S191.001.fa	1473.S315.001.fa	903.S188.001.fa	608.S160.001.fa	645.S223.001.fa	247.S112.001.fa	733.S248.001.fa	743.S184.001.fa	967.S210.001.fa	910.S219.001.fa	960.S231.001.fa	506.S179.001.fa	938.S200.001.fa	888.S207.001.fa	228.S136.001.fa	64.S126.001.fa	985.S232.001.fa	621.S192.001.fa	1143.S298.001.fa	72.S143.001.fa	1471.S304.001.fa	51.S110.001.fa	1431.S336.001.fa	913.S230.001.fa	305.S113.001.fa	855.S197.001.fa	837.S216.001.fa	1595.S326.001.fa	427.S178.001.fa	1297.S346.001.fa	619.S183.001.fa	813.S238.001.fa	753.S214.001.fa	655.S258.001.fa	364.S177.001.fa	1065.S245.001.fa	848.S186.001.fa	577.S170.001.fa	710.S203.001.fa	143.S163.001.fa	1208.S310.001.fa	1528.S277.001.fa	951.S220.001.fa	1115.S329.001.fa	1511.S348.001.fa	860.S217.001.fa	1090.S297.001.fa	941.S209.001.fa	600.S149.001.fa	796.S195.001.fa	867.S240.001.fa	734.S260.001.fa	1200.S271.001.fa	856.S206.001.fa	587.S116.001.fa	1268.S283.001.fa	1437.S276.001.fa	679.S235.001.fa	667.S212.001.fa	1749.S328.001.fa	1386.S275.001.fa	151.S174.001.fa	825.S196.001.fa	635.S211.001.fa	1281.S302.001.fa
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B;s__Ruminococcus_B_gnavus	65850	56855	9	4	2	15	3	5	3736	1064	0	7465	8092	5437	3	22	1	4	2231	466	652	2068	2	5083	1	1110	169	9223	46	5306	1190	212	172	0	16712	501	2860	10	35	3905	212	4	4	11	11	5699	1	0	17	1032	1442	25626	5266	14041	7426	1	2318	14	4065	8850	111	4191	74538	62	7249	57163	3107	2	1868	69595	83647	4	9138	10030	5277	0	1008	4	9	3046	314	1	859	44	44028	2	7294	165020	16157	3	0	14	1613	685	4320	3899	7	1	0	12969	0	148988	0	1	591	395	0	2925	3	1	23	107	0	33	4	24787	48488	104	1286	0	6	0	5526	7	1593	5001	272	1	0	576	3844	1208	26	27668	5	4	75	175	0	5	0	605	0	1786	3130	1	754	752	3222	9493	180	68049	1	10	177	8398	0	3879	4960	3	5177	4422	32	6356	1	1	10	310	54744	21047	5078	173213	0	1131	57	8090	1	46307	117253	4177	2	18	30	242	2	407	1549	1478	3	12	47279	9	41	178	0	4250	0	0	6	5	3492	291	0	26	13541	34629	68	3	237	3864	14638	719	47490	4007	87	41	1	1703	115223	9067	49598	15031	2	1394	30	12210	0	156	2	19	64	208	8	915	7	12	11125	3	281	4	18	6
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli_D	73198	29888	51637	61165	484	24844	14298	55432	235	118316	33	1598	1581	308564	57	23	153564	15233	90	2054	924	819	3734	229	5	24451	1762	18663	15245	105212	179	16292	9602	1059	39	75913	27050	16668	14915	5	41847	123	5887	7281	468	245	46521	397180	361	9905	933	10375	167	7326	1366	49	418	81	5407	4584	13036	7045	262199	52364	4054	20900	14454	75737	159151	7872	648	115999	3677	41445	6424	63451	2260	3	35313	4785	22136	1002	953	37622	2954	25411	1489	150	17641	24814	31708	34440	2875	480	1009	25720	16823	3	2435	15	9676	325529	244316	72686	88802	31753	27201	30618	33551	81	5347	939	8	12894	6	10136	14348	414	96	97031	7829	85010	186	14	195	7607	98	20	9568	2272	263	65024	294	19358	151	14420	12219	9574	4271	13165	70926	4971	9	3967	2557	2711	60	19422	50377	8	749	6	10945	3706	87	69	28552	3530	88	852	857	63	10125	55045	3	4	7389	1340	26456	16813	932	11720	214	5253	1818	5733	7960	17618	49966	3217	28467	75	16925	45880	8317	1767	20427	2124	1	7990	33223	50267	68882	10139	16585	2808	14867	22920	509	215	2082	12	2169	1023	2123	25204	8788	9482	1775	2327	22606	554	7304	2390	635	37	17600	816	5919	26550	2092	11596	599	16290	25763	83148	12123	1099	13143	9	67	51	83	183	19498	9287	11283	53	271	3321	41	6
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_flexneri	15774	35245	11658	89516	147	2970	18409	72306	120	67298	6	391	253	68928	22	15	32010	3657	58	1824	53	913	949	28	1	34189	554	3235	4307	17842	26	3577	1146	94	8	12389	4678	18147	7283	1	61871	12	2054	1614	24	31	4228	4254	30	12262	841	2086	30	911	300	2	98	14	4803	1621	5302	1288	1199	11249	5370	8577	21130	109619	125938	2875	798	784	1207	6201	1896	31365	1312	3	4220	6024	2904	422	293	4810	1531	3803	1611	21	5070	6304	12725	17418	1362	236	157	4602	24257	3	98	2	3050	4029	58684	61059	8354	7360	231	4724	7159	67	7689	1185	0	2819	4	1535	3478	69	37	10305	1901	905	241	3	15	52	22	3	12645	525	63	99042	38	2822	8	1740	2723	3569	1015	11855	52104	1459	3	779	2341	86	10	3141	21752	3	251	0	2996	927	22	19	7143	1322	87	119	233	32	13934	8347	0	1	3106	1905	4582	17214	452	312	43	536	541	62	8155	6265	215	4655	11007	18	2846	3887	3084	283	29742	3001	2	2647	6100	285	362	3716	2146	343	3353	2925	16	129	1314	0	268	1451	239	11106	2972	14182	293	3337	34205	107	11522	2929	185	11	3749	922	3714	5979	3086	2910	46	4817	10304	104435	18553	392	15236	13	11	20	6	37	4030	1435	2046	13	66	980	4	7
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	130993	35758	329717	72646	979	422697	17533	60533	2391	97153	28	5106	1019	133777	1038	56	186770	97706	670	2860	354	1073	25560	145	16	30160	11349	15087	59048	76100	181	113684	143852	901	107	53162	21817	17956	136971	35	53079	54	39254	30879	330	547	542811	104995	855	17853	4355	7141	3455	120987	5328	128	3135	423	13053	32105	118262	22170	94615	206822	4891	234433	17678	91248	183438	9049	1113	25556	31577	63740	9120	618864	16109	16	493356	5518	462480	985	18184	563484	31544	515261	3143	544	96006	180769	300596	339149	3440	3701	802	18606	20019	6	5757	25	147904	96197	279922	86454	39911	132941	7304	21855	42027	233	6219	1157	11	44091	228	6341	99500	356	593	51585	10705	25256	258	18	365	1826	122	36	11691	15415	381	82519	394	12101	988	232216	74277	34211	31792	57667	83621	3490	36	3926	3032	6439	223	12382	38288	22	2449	30	53599	6124	61	316	207356	3687	2520	13596	654	416	13506	35430	15	69	48315	1546	98040	103652	1252	4045	2263	1682	8526	1176	8715	109344	18001	4050	276156	688	391469	534195	82282	1568	27420	2420	8	59535	22349	11329	15802	70056	263204	46281	104360	375290	610	2389	1677	10	2620	1639	33164	220350	74944	11324	3966	3213	26846	10931	8682	7800	2819	179	117942	933	57753	39659	4421	84559	1408	22715	296918	94933	14912	9381	14489	16	357	284	53	694	69814	5530	7975	492	2114	19140	89	7
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__Prevotellamassilia_sp900539625	21	0	1	0	0	0	0	36	6	0	0	0	10	0	0	1	3	1	5	0	2	3	5	2	0	0	0	7	0	0	10	0	0	0	0	0	16	0	0	0	0	0	0	9	0	0	0	0	0	3	2	4	10	0	0	0	5	47	1	0	0	0	0	0	1	0	0	0	0	4	0	13	3	0	0	0	9	0	0	0	0	0	2	0	0	0	3	0	0	5	0	0	0	2	0	1	5	0	0	88	8	0	0	0	1	0	0	0	39	0	30	0	1	0	9	11	0	0	1	0	0	0	1	0	0	0	1	0	0	5	22	0	0	33	0	0	0	7	1	3	0	2	0	0	1	0	18	0	4	0	0	15	14	2	2	0	0	2	2	0	0	0	0	4	0	0	2	7	0	0	5	0	0	18	1	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	4	0	2	2	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	19	0	0	0	0	1	0	1	0	0	18	0	0	0	4	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_congonensis	743	3	6	14	3	38	49	404	79	11	2	10	339	0	551	2	33	52	541	20	531	674	79	224	20	0	986	253	0	22	110	1732	0	0	0	249	1011	19	0	68	0	82	35	291	0	6	19	0	0	409	76	203	21	774	160	122	263	0	90	2	0	19	0	602	172	0	740	0	3	300	253	74	2035	0	7	0	10	103	58	70	0	2	1011	0	0	1	610	1	0	34	203	0	59	329	1324	845	186	452	0	4584	59	0	0	8	48	0	25	302	9	0	751	372	16	10	55	10	2	64	221	0	1673	0	172	0	0	113	141	0	126	146	352	0	1	0	0	1	565	28	14	20	11	220	51	738	193	2	72	313	128	1	1	0	24	988	285	12	1	316	20	10	720	302	715	0	98	0	38	80	0	1	32	170	0	107	201	180	62	0	0	232	0	0	0	0	6	846	372	1867	181	137	668	174	79	35	0	5	13	14	23	0	74	1272	2	55	2	0	1060	54	0	91	47	18	1	1	256	188	6	285	0	91	0	1	17	970	0	119	13	343	1	0	290	206	0	19	0	0	126	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-45;s__CAG-45_sp002299665	40	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	10	0	1	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	6	3	0	0	0	0	0	0	0	1	0	0	14	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	7	0	0	0	0	0	105	4	1	0	0	0	10	0	0	24	0	0	0	0	0	6	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	2	1	7	0	5	0	7	0	33	17	0	0	0	0	0	0	1	0	4	0	1	35	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	3	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_xylanisolvens	25050	28	28	2813	86	783	2318	15032	2135	516	990	360	5425	8	188065	38	3415	957	19934	185	72075	3245	1446	4903	1336	0	39579	893	0	280	1250	29241	0	19	0	9297	1329	51	0	1858	0	1173	2006	932	0	126	64	0	0	3619	2379	7591	255	98250	4719	1347	2716	75	3140	782	0	1712	2	18854	2575	1	29976	15	10	32669	4856	1874	34751	0	327	0	1002	22	1455	4266	0	110	25831	2	2	5	15515	9	2	455	4379	0	1558	37608	142647	45187	22851	640	0	40989	1093	2	6	35	4394	1	254	24381	163	81	97102	7729	273	1853	940	123	188	9	12262	64	436	4	20114	12	10	15720	1383	4	1109	4176	62369	3	0	255	1	4	20168	23	225	298	54	4324	152	14807	3139	112	3121	138	1318	398	3	94	1689	606	42662	83	16	15500	3408	5226	3132	76220	18559	44	177	0	245	900	1	1	444	4427	1	1346	1258	26940	739	10	1633	7023	6	2	0	1	381	35346	7136	6227	11400	7019	18914	4055	6338	1557	0	1	1236	265	97	1	720	73397	28	353	3	20	23231	1780	0	1309	512	4094	0	16	3373	3829	291	1273	4	14957	4	3	276	3298	2	3951	207	5884	95	12	108	2598	2	594	47	1	381	1	25	0	2	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;s__Clostridium_Q_sp003024715	49744	17	0	1	0	12	0	0	52	137	0	84	60	0	0	1	0	0	78	0	82	58	0	47	0	651	126	4	36	2	298	0	13	0	392	0	2	0	7	130	22	0	0	5	0	3	0	0	3	5	10	213	181	28	80	0	52	0	4	6	35	178	49	0	24	156	25	0	3	9	44	0	8	382	0	0	22	0	0	41	7	0	65	0	53	0	13	267	490	0	0	4	3	45	20	3	0	1	0	0	1	43	0	1	32	34	0	3	0	0	1	100	0	35	1	271	295	5	132	0	2	0	6	41	329	83	20	0	0	37	85	0	21	54	0	0	102	0	0	1	0	48	0	20	19	0	114	43	103	2	1	12	0	3	448	26	0	80	343	0	4	4029	0	9	0	0	0	21	64	6	62	9	0	46	14	84	0	9	95	77	0	0	8	0	0	23	1	54	0	0	3	0	0	0	0	4	0	0	0	0	211	114	0	0	78	0	5	0	21	54	1	0	103	31	2	6	0	36	86	98	430	721	0	3	0	6	0	8	0	0	40	74	0	81	0	0	43	0	0	0	0	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A_obeum_B	28	27	0	1	0	7	0	0	35	24	0	13	9	1	0	0	0	0	24	1	24	12	0	26	0	58	17	1	9	1	21	0	15	0	107	0	0	0	1	204	14	0	0	2	0	0	0	0	0	11	3	40	56	92	15	0	22	1	7	0	16	13	28	0	4	15	4	0	1	14	174	0	4	99	2	0	2	0	0	27	0	0	41	0	63	0	5	200	35	0	0	0	9	10	17	2	0	0	0	3	0	19	0	0	0	6	0	0	0	0	0	9	1	4	0	63	44	1	27	0	1	0	4	0	49	11	10	0	0	0	9	0	2	2	0	0	0	0	0	0	0	0	0	7	17	0	89	9	1	34	0	3	0	0	19	5	0	17	26	0	3	3	0	3	0	0	0	12	20	10	18	2	0	11	4	16	0	2	38	23	0	0	0	0	0	7	0	99	0	0	6	0	0	0	1	1	0	0	0	0	0	7	0	0	17	0	0	0	6	6	0	0	35	6	0	1	0	12	78	27	45	123	0	1	0	1	0	4	0	0	7	24	0	13	0	0	12	0	0	0	0	0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	69594	1	108	1148	103	1810	1399	87292	17166	612	557	75	55455	80	27454	763	1132	4941	55583	94	26945	68781	3316	52258	905	2	113598	1875	6	203	15430	80289	1	16	1	24960	2341	67	0	10323	2	8836	106	1807	0	544	50	8	1	39762	505	21627	4	38176	13443	9589	2811	113	15143	44	1	800	2	51822	17194	0	86991	87	3	34543	13753	1761	81707	6	4	0	8961	35	10553	24286	0	158	63458	22	1	41	38710	76	0	1326	54457	1	4421	15192	54573	125078	9913	828	0	468648	2432	2	4	0	18235	0	756	13043	424	42	33294	55369	113	916	3380	1703	2	0	33920	190	2836	12	3180	1	51	7385	15287	12	369	10051	19211	5	0	297	2	9	52376	158	72	222	2	47577	426	98589	16938	290	9330	620	21487	204	0	71	1675	9117	29438	216	7	44361	1152	1306	98793	34966	51457	51	379	1	107	9299	4	4	306	12382	0	12061	3580	12117	555	69	6	55471	18	7	0	1	1577	100119	20764	288700	3906	12092	74246	2071	3206	619	8	6	1277	158	8	17	6645	32542	201	1888	10	5	57630	4487	4	18183	461	8916	0	1	24939	27453	90	27434	5	4948	3	3	128	70178	6	22787	1363	11405	80	13	214	2221	5	1	45	1	980	5	22	0	10	0
k__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_longum	36567	117674	3	48759	57892	95	0	817	1177	9585	19	5305	23851	36	82	15	157	144	336	261	12640	1390	1008	10443	0	1466	7396	631	6	755	200	2426	7	0	13014	1355	1514	1558	0	1356	6748	6065	1502	1699	1689	2854	2	5	13672	5248	5101	25509	9912	452	168	1588	606	7	1945	33759	0	11805	2	1647	1277	0	8563	4295	3	92486	2168	0	7719	4138	12368	2	13795	3588	4215	482	1062	134091	18663	1	113	1	0	14735	10721	4	0	1	5874	21241	4366	7925	12702	60073	4	9708	0	39	4	0	6470	2	0	3954	24739	28901	14705	563	91	2500	284	266	0	185	2234	0	8530	9	2303	1956	1506	2410	4903	424230	0	13850	856	574	0	59	0	33769	7	1701	1	7736	0	5943	21974	3079	3899	1	3943	6362	5768	20421	0	0	2	8991	3452	110	28371	5368	11534	1839	9	414	0	11	2	0	7170	6226	25	80	22719	3756	0	12019	6993	3615	2530	145222	572	10363	0	371	11757	2	269	658	11655	375	0	2352	82249	1	2	2	97710	15857	0	1	8079	2	2066	40193	4	2	13054	3	6694	16	0	2013	3	5035	22881	20446	915	104767	3	593	144	2064	3	8714	1	4381	0	19	2	24598	15085	29493	61233	501	10	6752	6	28310	197	42219	6450	2400	3	2
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1071;s__UMGS1071_sp900542375	302	0	77	444	2	147	22	420	36	4	50	97	279	0	0	79	9	2	107	0	263	9	37	67	0	2	0	1	726	132	51	0	0	0	7	39	0	0	0	219	0	0	121	49	0	1	1	0	0	137	97	64	17	3	312	2	211	1	90	245	292	179	525	0	226	7	0	40	160	121	514	0	309	0	32	0	25	17	3323	61	6	334	14	0	0	0	69	31	0	68	60	0	0	202	159	36	0	2	0	2	47	3	0	1	54	0	1	186	0	4	104	118	3	11	0	213	136	2	113	0	3	0	213	9	20	86	68	1	2	11	55	0	12	1	0	0	0	0	0	0	0	78	641	16	10	0	16	5	277	27	0	94	2	7	48	13	0	42	10	85	17	6	0	0	5	0	10	102	495	0	14	236	0	0	7	145	0	653	390	3	0	0	76	248	47	4	0	17	445	31	106	4	4	385	0	0	0	0	0	0	166	8	0	0	3	0	40	1	0	23	2	129	398	2	2	501	0	24	0	64	12	26	0	22	0	7573	0	142	0	0	0	1114	0	169	0	0	0	0	0	0	0	0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_dysenteriae	8662	20227	6235	25361	14	1284	4419	19307	36	21924	9	187	115	21532	6	7	17797	1791	14	491	22	305	518	17	2	11985	254	1912	2179	10434	9	2002	428	5	0	7567	2750	6496	3043	2	15289	3	976	860	7	17	1689	2833	11	4731	248	984	7	405	152	0	60	2	3461	781	2940	593	773	5099	1833	4883	6391	31664	138881	1255	191	419	660	4080	936	12800	706	0	1220	1518	1822	128	110	1457	731	1667	554	11	2349	3266	6290	6807	1118	111	92	2757	6948	0	3	2	1110	2629	29073	68204	4456	3161	92	2778	4023	19	2180	389	0	1323	2	806	2005	34	11	5537	972	581	88	0	2	20	9	5	4337	283	32	24858	6	1710	1	749	1285	1159	517	4599	54518	655	0	351	2476	3	7	1576	7877	0	73	1	1306	513	4	9	3821	488	11	47	106	12	3624	4740	0	0	1343	697	2473	5490	148	184	12	200	246	28	2845	3216	141	1295	5352	5	1859	1850	1615	147	7738	857	0	1252	3269	146	180	1671	864	153	1766	1189	4	19	426	0	67	341	93	5937	1604	3788	158	844	8953	25	2931	953	67	6	1921	247	1524	3242	842	1630	4	2666	5555	27247	4843	190	5781	4	4	7	0	22	2296	859	1204	8	32	438	2	0
k__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor_sp000508885	53676	427	6	1	0	0	7	2	4382	36	0	13731	531	6	14	24	1	0	2851	558	6564	10090	1	4088	0	49829	1051	9802	12972	14	2047	0	1302	2	2566	0	6994	1	6	7110	188	0	1	20	2	418	0	5	488	4744	4598	3011	6342	10408	10326	1	4544	1	5578	3783	19322	17814	58343	26	30144	12685	12619	1	0	797	1071	0	6989	71	16489	0	9152	6	8	4463	6	1	8115	271	17409	1	2074	7038	96426	0	0	0	0	2940	8569	3113	4	6	1	1	2	9	5	0	9835	543	0	1	0	0	40	68	0	34484	1	7309	13933	718	9781	0	37	0	4823	31995	40708	13769	666	0	0	102	13225	3	8316	5320	1	1	129	1	1	0	0	3197	0	12393	11246	3	3358	6824	6691	394	1	13730	2	17827	2859	312	1	10667	8592	1409	2228	8878	0	15162	0	0	0	624	16449	28334	4081	963	1	9020	3052	32374	0	86	4699	11583	0	1	12822	2	10445	2273	0	5340	1	9593	289	2	2	0	0	37	0	1	0	4	4151	36	2	0	194	5	6596	4	13688	3527	0	2592	951	1650	33	27	0	7260	13640	4495	5689	1550	1	5160	32	1428	0	4109	0	1	1057	4680	1	3597	5004	3	6325	0	0	0	3	1
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_sp900557355	13386	2022	500	134	380	378	1686	6089	3114	45	52	144	4970	9	1609	131	279	1333	7901	228	4266	1440	1903	4443	666	20	22307	908	7	274	1002	20532	0	782	128	4251	867	413	0	1485	1	1790	1828	1084	4	98	117	2	0	2050	1382	3370	3271	4124	3342	4259	910	335	3278	357	0	56	37	11023	4646	22	16927	2	3	3171	4304	140	17840	0	1608	0	1056	3922	1957	2792	1	486	9018	0	9	48	5692	8	19	852	2093	0	859	2257	5929	12784	1094	1488	0	6856	411	4	2	2712	2578	53	705	3166	289	7	4557	11656	11	61	979	1393	88	579	3654	33	643	3	2013	3424	343	1260	1860	4	293	2539	4208	0	0	372	0	51	10546	2551	86	140	8522	2910	756	6360	2825	68	1457	84	1577	752	0	3510	443	604	2688	145	1	5282	1625	1371	3635	3759	12623	55	2101	1	74	1110	54	2	215	2601	0	1877	725	1968	545	6	85	10005	3	10	0	0	528	11751	4733	2967	667	2809	2122	1611	1027	402	30	76	1570	899	1973	1	1025	3574	38	311	90	2	11132	227	1	840	1930	1192	2	1447	1473	5745	96	1090	4	1897	185	40	1204	1472	0	2778	195	2352	88	3	149	774	3	2154	95	0	1967	0	2	0	0	1
k__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula_A	10119	1474	35	15	1331	263	0	1	0	212	0	1498	38	0	8	2	103	0	59	420	1436	15	391	15	7	4711	83	3235	26131	0	15	723	1	314	621	26	11224	1	13648	146	174	157	264	4693	120000	443	1	0	91496	22	2550	10	25	1221	1298	35914	1	63291	5059	129275	391	37781	44630	3352	25568	46156	80	33	20	7328	2009	4	16315	319	12	0	2	9	0	12019	3	1658	36704	231	18048	2	889	15171	250	140	2	2082	4335	4992	47	89	994	286	66	159	2	2996	2	27587	481	20	0	1514	154	37	2822	615	1	10474	0	640	14877	5	4	41	34692	11	81	28568	6295	860	33	1	0	17	50	66	116	3633	0	249	91	57	2	1618	241	610	2	44	16215	6	10	4052	281	3991	5094	44	1	5783	58	68	10	93	12	1	6	2066	4	9418	1	358356	27652	76	7033	12157	165	490	38	2	2	16	166	28661	8976	6	127	10707	4	19	0	5	2	0	0	7525	2	33	369	18	7	10369	1	8	190	2125	85	3	0	176	187	114	11077	1	18621	1	3	82	11516	709	21	3	0	11	56481	30155	318	3751	4	4578	684	1	0	56	2827	102	51	17	9	3	156	152	16376	0	411	24	1	1
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D_sp002850555	528	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	35	0	2	15	0	0	1	0	0	0	0	0	0	0	35	0	0	1717	0	0	0	0	0	0	0	18	0	0	68	0	0	0	0	11	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	155	1	0	0	0	0	0	0	71	0	0	0	0	0	0	1	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	680	0	26	1	0	2	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	166	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0	325	0	0	0	0	0	0	0
